LearningArea,YearLevel,AchievementResult,Gender
SCIENCE,12,A,F
SCIENCE,12,A,F
SCIENCE,07,B,F
SCIENCE,07,D,M
SCIENCE,07,C,M
SCIENCE,07,B,F
SCIENCE,07,B,F
SCIENCE,10,A,F
SCIENCE,10,A,F
SCIENCE,11,D,F
SCIENCE,11,C,F
SCIENCE,11,C,F
SCIENCE,12,C,F
SCIENCE,12,B,F
SCIENCE,07,C,F
SCIENCE,07,A,F
SCIENCE,07,A,F
SCIENCE,07,B,M
SCIENCE,07,C,F
SCIENCE,08,B,F
SCIENCE,08,A,F
SCIENCE,08,C,M
SCIENCE,08,B,M
SCIENCE,10,D,F
SCIENCE,10,D,M
SCIENCE,11,C,M
SCIENCE,07,B,M
SCIENCE,07,C,M
SCIENCE,08,A,F
SCIENCE,08,B,M
SCIENCE,08,B,F
SCIENCE,08,A,M
SCIENCE,08,B,F
SCIENCE,07,A,M
SCIENCE,09,C,F
SCIENCE,09,B,F
SCIENCE,09,N,F
SCIENCE,10,A,F
SCIENCE,11,B,M
SCIENCE,11,C,F
SCIENCE,11,B,M
SCIENCE,11,C,M
SCIENCE,11,B,F
SCIENCE,07,B,M
SCIENCE,08,B,F
SCIENCE,08,C,M
SCIENCE,07,C,M
SCIENCE,07,C,F
SCIENCE,07,C,F
SCIENCE,08,B,F
SCIENCE,08,B,F
SCIENCE,08,D,F
SCIENCE,08,C,M
SCIENCE,09,D,M
SCIENCE,09,C,M
SCIENCE,09,D,F
SCIENCE,10,B,M
SCIENCE,10,C,M
SCIENCE,10,B,F
SCIENCE,10,D,F
SCIENCE,11,C,M
SCIENCE,11,A,F
SCIENCE,10,C,F
SCIENCE,08,B,F
SCIENCE,08,A,F
SCIENCE,08,A,F
SCIENCE,08,B,F
SCIENCE,08,B,F
SCIENCE,08,B,M
SCIENCE,08,C,F
SCIENCE,08,B,F
SCIENCE,08,C,M
SCIENCE,08,C,M
SCIENCE,08,B,M
SCIENCE,09,C,M
SCIENCE,09,C,M
SCIENCE,09,C,M
SCIENCE,09,C,F
SCIENCE,09,C,M
SCIENCE,09,C,F
SCIENCE,09,B,F
SCIENCE,12,C,F
SCIENCE,07,C,M
SCIENCE,07,D,F
SCIENCE,07,B,F
SCIENCE,07,C,F
SCIENCE,07,B,F
SCIENCE,07,C,M
SCIENCE,07,C,M
SCIENCE,07,A,M
SCIENCE,09,C,M
SCIENCE,09,C,F
SCIENCE,09,B,F
SCIENCE,10,B,M
SCIENCE,07,C,M
SCIENCE,07,C,F
SCIENCE,10,C,M
SCIENCE,10,C,F
SCIENCE,10,N,M
SCIENCE,10,B,M
SCIENCE,11,C,M
SCIENCE,11,C,F
SCIENCE,12,B,F
SCIENCE,12,C,M
SCIENCE,12,B,M
SCIENCE,12,B,F
SCIENCE,12,A,F
SCIENCE,12,B,M
SCIENCE,12,B,F
SCIENCE,08,B,F
SCIENCE,08,A,F
SCIENCE,08,A,M
SCIENCE,08,C,M
SCIENCE,09,B,F
SCIENCE,11,B,M
SCIENCE,11,C,M
SCIENCE,12,B,F
SCIENCE,12,B,M
SCIENCE,12,C,F
SCIENCE,07,C,M
SCIENCE,07,B,M
SCIENCE,08,C,F
SCIENCE,08,B,F
SCIENCE,08,C,M
SCIENCE,08,B,M
SCIENCE,09,B,F
SCIENCE,09,B,M
SCIENCE,09,B,F
SCIENCE,09,C,M
SCIENCE,09,B,F
SCIENCE,09,B,F
SCIENCE,10,B,M
SCIENCE,10,D,F
SCIENCE,10,C,M
SCIENCE,10,C,M
SCIENCE,11,B,M
SCIENCE,11,B,M
SCIENCE,11,B,F
SCIENCE,12,A,F
SCIENCE,12,B,F
SCIENCE,12,A,F
SCIENCE,08,B,M
SCIENCE,08,C,M
SCIENCE,10,A,F
SCIENCE,10,B,F
SCIENCE,10,B,F
SCIENCE,07,C,M
SCIENCE,07,B,M
SCIENCE,07,C,F
SCIENCE,08,C,M
SCIENCE,08,B,M
SCIENCE,08,C,M
SCIENCE,08,C,M
SCIENCE,08,C,M
SCIENCE,08,C,M
SCIENCE,09,B,M
SCIENCE,10,D,F
SCIENCE,10,C,M
SCIENCE,10,A,F
SCIENCE,10,C,M
SCIENCE,10,B,F
SCIENCE,10,B,M
SCIENCE,11,B,F
SCIENCE,11,C,F
SCIENCE,12,C,M
SCIENCE,12,B,M
SCIENCE,12,B,M
SCIENCE,11,C,F
SCIENCE,11,B,F
SCIENCE,08,A,F
SCIENCE,08,B,M
SCIENCE,08,B,M
SCIENCE,08,B,M
SCIENCE,08,C,M
SCIENCE,08,B,F
SCIENCE,10,C,M
SCIENCE,10,C,F
SCIENCE,10,B,F
SCIENCE,07,B,F
SCIENCE,07,B,F
SCIENCE,07,C,F
SCIENCE,11,C,F
SCIENCE,07,B,M
SCIENCE,07,C,F
SCIENCE,07,C,M
SCIENCE,08,C,F
SCIENCE,08,C,M
SCIENCE,08,B,M
SCIENCE,10,B,M
SCIENCE,10,C,F
SCIENCE,10,B,F
SCIENCE,12,B,M
SCIENCE,12,A,F
SCIENCE,07,B,M
SCIENCE,07,C,F
SCIENCE,07,D,M
SCIENCE,07,C,F
SCIENCE,08,B,M
SCIENCE,08,A,F
SCIENCE,08,C,M
SCIENCE,08,C,M
SCIENCE,08,C,M
SCIENCE,10,B,F
SCIENCE,10,C,F
SCIENCE,07,B,F
SCIENCE,07,C,F
SCIENCE,07,C,M
SCIENCE,07,C,F
SCIENCE,07,C,M
SCIENCE,07,A,F
SCIENCE,07,A,F
SCIENCE,09,A,M
SCIENCE,09,A,F
SCIENCE,09,A,F
SCIENCE,09,B,F
SCIENCE,09,A,F
SCIENCE,11,B,F
SCIENCE,12,C,M
SCIENCE,12,C,F
SCIENCE,12,B,M
SCIENCE,12,C,M
SCIENCE,12,B,F
SCIENCE,07,C,F
SCIENCE,08,C,M
SCIENCE,08,B,F
SCIENCE,08,B,M
SCIENCE,08,B,M
SCIENCE,08,C,M
SCIENCE,08,D,M
SCIENCE,10,B,F
SCIENCE,10,B,M
SCIENCE,10,B,F
SCIENCE,10,B,F
SCIENCE,07,B,F
SCIENCE,07,C,M
SCIENCE,08,D,F
SCIENCE,08,C,M
SCIENCE,08,C,M
SCIENCE,08,C,M
SCIENCE,09,C,M
SCIENCE,09,N,M
SCIENCE,10,C,M
SCIENCE,10,B,M
SCIENCE,10,N,M
SCIENCE,10,C,M
SCIENCE,10,B,M
SCIENCE,11,C,F
SCIENCE,11,C,M
SCIENCE,12,B,M
SCIENCE,08,E,M
SCIENCE,08,D,M
SCIENCE,08,C,M
SCIENCE,08,B,F
SCIENCE,08,C,M
SCIENCE,09,A,M
SCIENCE,09,A,F
SCIENCE,09,A,M
SCIENCE,09,B,M
SCIENCE,09,C,F
SCIENCE,11,B,F
SCIENCE,11,C,M
SCIENCE,11,B,M
SCIENCE,12,C,M
SCIENCE,12,B,M
SCIENCE,12,C,M
SCIENCE,07,B,M
SCIENCE,07,B,M
SCIENCE,07,B,F
SCIENCE,07,A,F
SCIENCE,07,B,M
SCIENCE,07,C,M
SCIENCE,07,B,F
SCIENCE,09,C,F
SCIENCE,09,C,M
SCIENCE,10,A,M
SCIENCE,10,D,M
SCIENCE,10,B,F
SCIENCE,10,A,F
SCIENCE,10,B,M
SCIENCE,10,B,M
SCIENCE,10,D,M
SCIENCE,07,B,M
SCIENCE,07,B,M
SCIENCE,07,A,F
SCIENCE,09,C,M
SCIENCE,09,C,M
SCIENCE,09,B,F
SCIENCE,10,A,F
SCIENCE,12,C,M
SCIENCE,12,B,F
SCIENCE,12,C,F
SCIENCE,10,C,F
SCIENCE,10,E,M
SCIENCE,12,B,F
SCIENCE,12,B,F
SCIENCE,12,D,M
SCIENCE,12,D,M
SCIENCE,PY,Making,Connections
SCIENCE,PY,Making,Connections
SCIENCE,PY,Exploring,M
SCIENCE,02,C,F
SCIENCE,02,C,M
SCIENCE,02,D,F
SCIENCE,07,C,M
SCIENCE,07,C,F
SCIENCE,07,B,F
SCIENCE,08,E,F
SCIENCE,08,C,F
SCIENCE,08,B,F
SCIENCE,08,D,M
SCIENCE,08,C,F
SCIENCE,07,C,M
SCIENCE,07,B,F
SCIENCE,07,C,M
SCIENCE,07,B,F
SCIENCE,08,B,M
SCIENCE,07,A,M
SCIENCE,07,A,F
SCIENCE,07,B,F
SCIENCE,07,A,F
SCIENCE,07,A,F
SCIENCE,08,C,M
SCIENCE,08,B,F
SCIENCE,08,A,M
SCIENCE,08,B,F
SCIENCE,08,A,F
SCIENCE,09,B,F
SCIENCE,09,C,F
SCIENCE,09,D,M
SCIENCE,09,A,F
SCIENCE,09,A,F
SCIENCE,09,A,F
SCIENCE,10,A,F
SCIENCE,10,B,M
SCIENCE,10,B,F
SCIENCE,10,D,M
SCIENCE,09,C,F
SCIENCE,09,C,M
SCIENCE,05,B,M
SCIENCE,05,D,F
SCIENCE,05,B,F
SCIENCE,05,C,M
SCIENCE,08,A,F
SCIENCE,08,C,F
SCIENCE,08,B,F
SCIENCE,08,B,M
SCIENCE,10,C,M
SCIENCE,11,D,M
SCIENCE,11,B,F
SCIENCE,11,B,F
SCIENCE,11,A,M
SCIENCE,11,B,F
SCIENCE,11,D,F
SCIENCE,01,N,F
SCIENCE,01,A,F
SCIENCE,01,B,F
SCIENCE,04,D,M
SCIENCE,04,C,M
SCIENCE,07,D,F
SCIENCE,07,B,M
SCIENCE,07,A,F
SCIENCE,08,B,M
SCIENCE,08,B,M
SCIENCE,09,B,F
SCIENCE,09,C,M
SCIENCE,09,C,F
SCIENCE,09,C,F
SCIENCE,11,C,M
SCIENCE,07,B,M
SCIENCE,09,C,F
SCIENCE,09,C,M
SCIENCE,09,B,M
SCIENCE,09,B,F
SCIENCE,09,B,F
SCIENCE,09,D,M
SCIENCE,PY,Applying,F
SCIENCE,PY,Making,Connections
SCIENCE,PY,Making,Connections
SCIENCE,02,C,F
SCIENCE,02,C,M
SCIENCE,02,C,M
SCIENCE,07,C,M
SCIENCE,07,A,F
SCIENCE,07,C,M
SCIENCE,08,C,F
SCIENCE,08,C,M
SCIENCE,08,C,M
SCIENCE,07,B,M
SCIENCE,07,B,M
SCIENCE,07,B,M
SCIENCE,07,C,F
SCIENCE,07,B,F
SCIENCE,07,A,F
SCIENCE,07,A,F
SCIENCE,08,A,M
SCIENCE,08,B,M
SCIENCE,09,C,M
SCIENCE,09,C,F
SCIENCE,09,C,M
SCIENCE,09,A,F
SCIENCE,09,A,M
SCIENCE,09,E,M
SCIENCE,05,C,M
SCIENCE,10,D,M
SCIENCE,10,B,M
SCIENCE,08,C,F
SCIENCE,09,B,M
SCIENCE,12,A,F
SCIENCE,12,C,M
SCIENCE,08,C,F
SCIENCE,09,C,M
SCIENCE,09,C,F
SCIENCE,09,D,F
SCIENCE,09,B,M
SCIENCE,09,C,M
SCIENCE,09,C,M
SCIENCE,09,B,F
SCIENCE,09,C,M
SCIENCE,11,C,F
SCIENCE,11,C,F
SCIENCE,11,B,M
SCIENCE,11,A,M
SCIENCE,11,C,M
SCIENCE,12,C,M
SCIENCE,07,A,F
SCIENCE,07,A,M
SCIENCE,07,B,F
SCIENCE,07,C,F
SCIENCE,07,C,F
SCIENCE,09,B,M
SCIENCE,09,B,M
SCIENCE,09,B,F
SCIENCE,10,B,M
SCIENCE,10,B,F
SCIENCE,10,C,M
SCIENCE,10,C,M
SCIENCE,08,B,F
SCIENCE,08,B,F
SCIENCE,08,C,F
SCIENCE,08,A,M
SCIENCE,12,C,M
SCIENCE,12,C,F
SCIENCE,12,C,F
SCIENCE,12,A,M
SCIENCE,12,C,M
SCIENCE,12,A,M
